project_id,project_name,finance_type,sector,province,district,latitude,longitude,status,approval_date,construction_start_date,financial_close_date,operation_date,committed_usd,disbursed_usd,year
95009,Fujian Provincial Government donates Covid-19 protective gear worth of 3 million RMB to Indonesia Ministry for Maritime and Investments Affairs,DF,HEALTH,,,,,Completion,2021-06-15,,,,465116.279069767,465116.279069767,2021
95719,Chinese Government donates 1 million Sinovac Covid-19 vaccine doses worth $18 million in September 2021,DF,HEALTH,,,,,Completion,2021-01-01,2021-09-24,,2021-09-24,18000000.0,18000000.0,2021
95720,Chinese Government donates 1 million Sinovac Covid-19 vaccine doses worth $18 million in October 2021,DF,HEALTH,,,,,Completion,2021-01-01,2021-10-26,,2021-10-26,18000000.0,18000000.0,2021
95726,Chinese Government donates 2 million Sinovac Covid-19 vaccine doses worth $36 million in December 2021,DF,HEALTH,,,,,Completion,2021-01-01,2021-12-21,,2021-12-21,36000000.0,36000000.0,2021
96372,Bank of China contributes $90 million to $545 million syndicated loan for Phase 1 of Indonesia Lithium Project (Morowali Industrial Park) Project (Linked to Project ID#96396),DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Completion,2021-12-24,,,2021-02-03,90000000.0,90000000.0,2021
96396,ICBC contributes $90 million to $545 million syndicated loan for Phase 1 of Indonesia Lithium Project (Morowali Industrial Park) Project (Linked to Project ID#96372),DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Completion,2021-12-24,,,2021-02-03,90000000.0,90000000.0,2021
96397,"Agricultural Bank of China participates in $760 million syndicated loan for Indonesia Huayou Nickel and Cobalt Project (Linked to Project ID#96398, #96399, and #96400)",DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Implementation,2021-10-28,2022-02-25,,2022-10-16,126666666.0,126666666.0,2021
96398,"China Eximbank participates in $760 million syndicated loan for Indonesia Huayou Nickel and Cobalt Project (Linked to Project ID#96397, #96399, and #96400)",DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Implementation,2021-10-28,2022-02-25,,2022-10-16,126666666.0,126666666.0,2021
96399,"China Citic Bank participates in $760 million syndicated loan for Indonesia Huayou Nickel and Cobalt Project (Linked to Project ID#96397, #96398, and #96400)",DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Implementation,2021-10-28,2022-02-25,,2022-10-16,126666666.0,126666666.0,2021
96400,"China Everbright Bank participates in $760 million syndicated loan for Indonesia Huayou Nickel and Cobalt Project (Linked to Project ID#96397, #96398, and #96399)",DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Implementation,2021-10-28,2022-02-25,,2022-10-16,126666666.0,126666666.0,2021
